Time (s)	 Pressure (bar)	 Rate (m3/D)
222635.0	177.6847825997539	3000.000000
222640.0	177.6847826009185	3000.000000
222645.0	177.6847825965721	3000.000000
222650.0	177.6847826127930	3000.000000
222655.0	177.6847825522562	3000.000000
222660.0	177.6847827781822	3000.000000
222665.0	177.6847819350189	3000.000000
222670.0	177.6847850817779	3000.000000
222675.0	177.6847733378824	3000.000000
222680.0	177.6848171666505	3000.000000
222685.0	177.6846535956728	3000.000000
222690.0	177.6853887085346	3000.000000
222695.0	177.6863068164502	3000.000000
222700.0	177.6861226893504	3000.000000
222705.0	177.6861720260751	3000.000000
222710.0	177.6861588063717	3000.000000
222715.0	177.6861623485563	3000.000000
222720.0	177.6861613994248	3000.000000
222725.0	177.6861616537440	3000.000000
222730.0	177.6861615855993	3000.000000
222735.0	177.6861616038586	3000.000000
222740.0	177.6861615989661	3000.000000
222745.0	177.6861616002770	3000.000000
222750.0	177.6861615999258	3000.000000
222755.0	177.6861616000199	3000.000000
222760.0	177.6861615999946	3000.000000
222765.0	177.6861616000014	3000.000000
222770.0	177.6861615999996	3000.000000
222775.0	177.6861616000001	3000.000000
222780.0	177.6861615999999	3000.000000
222785.0	177.6861616000003	3000.000000
222790.0	177.6861615999987	3000.000000
222795.0	177.6861616000047	3000.000000
222800.0	177.6861615999823	3000.000000
222805.0	177.6861616000659	3000.000000
222810.0	177.6861615997539	3000.000000
222815.0	177.6861616009184	3000.000000
222820.0	177.6861615965724	3000.000000
222825.0	177.6861616127920	3000.000000
222830.0	177.6861615522596	3000.000000
222835.0	177.6861617781695	3000.000000
222840.0	177.6861609350633	3000.000000
222845.0	177.6861640815634	3000.000000
222850.0	177.6861523385505	3000.000000
222855.0	177.6861961641869	3000.000000
222860.0	177.6860326048591	3000.000000
222865.0	177.6867676658802	3000.000000
222870.0	177.6876857058417	3000.000000
222875.0	177.6875015921911	3000.000000
222880.0	177.6875509253211	3000.000000
222885.0	177.6875377065442	3000.000000
222890.0	177.6875412484962	3000.000000
222895.0	177.6875402994395	3000.000000
222900.0	177.6875405537401	3000.000000
222905.0	177.6875404856004	3000.000000
222910.0	177.6875405038584	3000.000000
222915.0	177.6875404989662	3000.000000
222920.0	177.6875405002770	3000.000000
222925.0	177.6875404999258	3000.000000
222930.0	177.6875405000199	3000.000000
222935.0	177.6875404999947	3000.000000
222940.0	177.6875405000014	3000.000000
222945.0	177.6875404999996	3000.000000
222950.0	177.6875405000001	3000.000000
222955.0	177.6875405000000	3000.000000
222960.0	177.6875404999999	3000.000000
222965.0	177.6875405000004	3000.000000
222970.0	177.6875404999987	3000.000000
222975.0	177.6875405000048	3000.000000
222980.0	177.6875404999823	3000.000000
222985.0	177.6875405000659	3000.000000
222990.0	177.6875404997539	3000.000000
222995.0	177.6875405009185	3000.000000
223000.0	177.6875404965722	3000.000000
223005.0	177.6875405127930	3000.000000
223010.0	177.6875404522561	3000.000000
223015.0	177.6875406781824	3000.000000
223020.0	177.6875398350151	3000.000000
223025.0	177.6875429817434	3000.000000
223030.0	177.6875312378789	3000.000000
223035.0	177.6875750666936	3000.000000
223040.0	177.6874114955041	3000.000000
223045.0	177.6881466098330	3000.000000
223050.0	177.6890647163723	3000.000000
223055.0	177.6888805893694	3000.000000
223060.0	177.6889299260771	3000.000000
223065.0	177.6889167063416	3000.000000
223070.0	177.6889202485504	3000.000000
223075.0	177.6889192994250	3000.000000
223080.0	177.6889195537439	3000.000000
223085.0	177.6889194855993	3000.000000
223090.0	177.6889195038586	3000.000000
223095.0	177.6889194989661	3000.000000
223100.0	177.6889195002770	3000.000000
223105.0	177.6889194999258	3000.000000
223110.0	177.6889195000199	3000.000000
223115.0	177.6889194999947	3000.000000
223120.0	177.6889195000014	3000.000000
223125.0	177.6889194999996	3000.000000
223130.0	177.6889195000001	3000.000000
223135.0	177.6889195000000	3000.000000
223140.0	177.6889195000000	3000.000000
223145.0	177.6889195000000	3000.000000
223150.0	177.6889194999999	3000.000000
223155.0	177.6889195000003	3000.000000
223160.0	177.6889194999987	3000.000000
223165.0	177.6889195000047	3000.000000
223170.0	177.6889194999823	3000.000000
223175.0	177.6889195000659	3000.000000
223180.0	177.6889194997539	3000.000000
223185.0	177.6889195009185	3000.000000
223190.0	177.6889194965721	3000.000000
223195.0	177.6889195127929	3000.000000
223200.0	177.6889194522562	3000.000000
223205.0	177.6889196781812	3000.000000
223210.0	177.6889188350096	3000.000000
223215.0	177.6889219817770	3000.000000
223220.0	177.6889102378939	3000.000000
223225.0	177.6889540666054	3000.000000
223230.0	177.6887904958416	3000.000000
223235.0	177.6895256072379	3000.000000
223240.0	177.6904437165211	3000.000000
223245.0	177.6902595893581	3000.000000
223250.0	177.6903089259626	3000.000000
223255.0	177.6902957063500	3000.000000
223260.0	177.6902992485567	3000.000000
223265.0	177.6902982994247	3000.000000
223270.0	177.6902985537440	3000.000000
223275.0	177.6902984855993	3000.000000
223280.0	177.6902985038587	3000.000000
223285.0	177.6902984989661	3000.000000
223290.0	177.6902985002770	3000.000000
223295.0	177.6902984999258	3000.000000
223300.0	177.6902985000199	3000.000000
223305.0	177.6902984999947	3000.000000
223310.0	177.6902985000014	3000.000000
223315.0	177.6902984999996	3000.000000
223320.0	177.6902985000001	3000.000000
223325.0	177.6902985000000	3000.000000
223330.0	177.6902985000000	3000.000000
223335.0	177.6902985000000	3000.000000
223340.0	177.6902984999999	3000.000000
223345.0	177.6902985000004	3000.000000
223350.0	177.6902984999987	3000.000000
223355.0	177.6902985000048	3000.000000
223360.0	177.6902984999823	3000.000000
223365.0	177.6902985000659	3000.000000
223370.0	177.6902984997539	3000.000000
223375.0	177.6902985009184	3000.000000
223380.0	177.6902984965724	3000.000000
223385.0	177.6902985127919	3000.000000
223390.0	177.6902984522593	3000.000000
223395.0	177.6902986781708	3000.000000
223400.0	177.6902978350583	3000.000000
223405.0	177.6903009815929	3000.000000
223410.0	177.6902892385816	3000.000000
223415.0	177.6903330640388	3000.000000
223420.0	177.6901695054204	3000.000000
223425.0	177.6909045611168	3000.000000
223430.0	177.6918226043948	3000.000000
223435.0	177.6916384922962	3000.000000
223440.0	177.6916878252935	3000.000000
223445.0	177.6916746065495	3000.000000
223450.0	177.6916781485032	3000.000000
223455.0	177.6916771994391	3000.000000
223460.0	177.6916774537402	3000.000000
223465.0	177.6916773856004	3000.000000
223470.0	177.6916774038584	3000.000000
223475.0	177.6916773989662	3000.000000
223480.0	177.6916774002770	3000.000000
223485.0	177.6916773999258	3000.000000
223490.0	177.6916774000199	3000.000000
223495.0	177.6916773999947	3000.000000
223500.0	177.6916774000014	3000.000000
223505.0	177.6916773999996	3000.000000
223510.0	177.6916774000001	3000.000000
223515.0	177.6916774000000	3000.000000
223520.0	177.6916774000000	3000.000000
223525.0	177.6916774000000	3000.000000
223530.0	177.6916774000000	3000.000000
223535.0	177.6916774000000	3000.000000
223540.0	177.6916773999999	3000.000000
223545.0	177.6916774000003	3000.000000
223550.0	177.6916773999987	3000.000000
223555.0	177.6916774000047	3000.000000
223560.0	177.6916773999823	3000.000000
